2025-04-30 15:21:50,658 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:21:50,658 - WebSocket closed: None, None
2025-04-30 15:21:55,663 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:21:55,663 - WebSocket closed: None, None
2025-04-30 15:22:00,665 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:22:00,666 - WebSocket closed: None, None
2025-04-30 15:22:05,671 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:22:05,672 - WebSocket closed: None, None
2025-04-30 15:22:10,678 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:22:10,678 - WebSocket closed: None, None
2025-04-30 15:22:15,683 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:22:15,683 - WebSocket closed: None, None
2025-04-30 15:22:20,689 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:22:20,690 - WebSocket closed: None, None
2025-04-30 15:22:25,695 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:22:25,695 - WebSocket closed: None, None
2025-04-30 15:22:30,698 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:22:30,698 - WebSocket closed: None, None
2025-04-30 15:22:35,704 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:22:35,704 - WebSocket closed: None, None
2025-04-30 15:22:40,711 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:22:40,712 - WebSocket closed: None, None
2025-04-30 15:22:45,714 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:22:45,714 - WebSocket closed: None, None
2025-04-30 15:22:50,746 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:22:50,746 - WebSocket closed: None, None
2025-04-30 15:22:55,752 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:22:55,752 - WebSocket closed: None, None
2025-04-30 15:23:00,755 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:23:00,755 - WebSocket closed: None, None
2025-04-30 15:23:05,762 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:23:05,762 - WebSocket closed: None, None
2025-04-30 15:23:10,768 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
2025-04-30 15:23:10,769 - WebSocket closed: None, None
2025-04-30 15:23:15,775 - WebSocket error: [Errno 8] nodename nor servname provided, or not known
